root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_present_perfect_2p_s,indicative_present_perfect_1p_s,indicative_present_perfect_1p_p,indicative_present_perfect_3p_s,indicative_present_perfect_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,indicative_past_perfect_2p_s,indicative_past_perfect_1p_s,indicative_past_perfect_1p_p,indicative_past_perfect_3p_s,indicative_past_perfect_3p_p
trabajar,trabajas,trabajo,trabajamos,trabaja,trabajan,trabajaste,trabajé,trabajamos,trabajó,trabajaron,has trabajado,he trabajado,hemos trabajado,ha trabajado,han trabajado,trabajabas,trabajaba,trabajábamos,trabajaba,trabajaban,trabajarás,trabajaré,trabajaremos,trabajará,trabajarán,habías trabajado,había trabajado,habíamos trabajado,había trabajado,habían trabajado
amar,amas,amo,amamos,ama,aman,amaste,amé,amamos,amó,amaron,has amado,he amado,hemos amado,ha amado,han amado,amabas,amaba,amábamos,amaba,amaban,amarás,amaré,amaremos,amará,amarán,habías amado,había amado,habíamos amado,había amado,habían amado
dar,das,doy,damos,da,dan,diste,di,dimos,dio,dieron,has dado,he dado,hemos dado,ha dado,han dado,dabas,daba,dábamos,daba,daban,darás,daré,daremos,dará,darán,habías dado,había dado,habíamos dado,había dado,habían dado
regalar,regalas,regalo,regalamos,regala,regalan,regalaste,regalé,regalamos,regaló,regalaron,has regalado,he regalado,hemos regalado,ha regalado,han regalado,regalabas,regalaba,regalábamos,regalaba,regalaban,regalarás,regalaré,regalaremos,regalará,regalarán,habías regalado,había regalado,habíamos regalado,había regalado,habían regalado
olvidar,olvidas,olvido,olvidamos,olvida,olvidan,olvidaste,olvidé,olvidamos,olvidó,olvidaron,has olvidado,he olvidado,hemos olvidado,ha olvidado,han olvidado,olvidabas,olvidaba,olvidábamos,olvidaba,olvidaban,olvidarás,olvidaré,olvidaremos,olvidará,olvidarán,habías olvidado,había olvidado,habíamos olvidado,había olvidado,habían olvidado
comenzar,comienzas,comienzo,comenzamos,comienza,comienzan,comenzaste,comencé,comenzamos,comenzó,comenzaron,has comenzado,he comenzado,hemos comenzado,ha comenzado,han comenzado,comenzabas,comenzaba,comenzábamos,comenzaba,comenzaban,comenzarás,comenzaré,comenzaremos,comenzará,comenzarán,habías comenzado,había comenzado,habíamos comenzado,había comenzado,habían comenzado
estudiar,estudias,estudio,estudiamos,estudia,estudian,estudiaste,estudié,estudiamos,estudió,estudiaron,has estudiado,he estudiado,hemos estudiado,ha estudiado,han estudiado,estudiabas,estudiaba,estudiábamos,estudiaba,estudiaban,estudiarás,estudiaré,estudiaremos,estudiará,estudiarán,habías estudiado,había estudiado,habíamos estudiado,había estudiado,habían estudiado
cepillar,cepillas,cepillo,cepillamos,cepilla,cepillan,cepillaste,cepillé,cepillamos,cepilló,cepillaron,has cepillado,he cepillado,hemos cepillado,ha cepillado,han cepillado,cepillabas,cepillaba,cepillábamos,cepillaba,cepillaban,cepillarás,cepillaré,cepillaremos,cepillará,cepillarán,habías cepillado,había cepillado,habíamos cepillado,había cepillado,habían cepillado
acostar,acostas,acosto,acostamos,acosta,acostan,acostaste,acosté,acostamos,acostó,acostaron,has acostado,he acostado,hemos acostado,ha acostado,han acostado,acostabas,acostaba,acostábamos,acostaba,acostaban,acostarás,acostaré,acostaremos,acostará,acostarán,habías acostado,había acostado,habíamos acostado,había acostado,habían acostado
prestar,prestas,presto,prestamos,presta,prestan,prestaste,presté,prestamos,prestó,prestaron,has prestado,he prestado,hemos prestado,ha prestado,han prestado,prestabas,prestaba,prestábamos,prestaba,prestaban,prestarás,prestaré,prestaremos,prestará,prestarán,habías prestado,había prestado,habíamos prestado,había prestado,habían prestado
